collection_day,collection_month,collection_year,location_address,location_county,location_latitude,location_longitude,location_town,tick_id,tick_infection_tested,tick_infection,full_address,latitude,longitude
27,10,2023,"2 Mendelssohn Dr Hollis, NH 03049",HILLSBOROUGH,,,HOLLIS,20232115,YES,YES,"2 Mendelssohn Dr Hollis, NH 03049,HOLLIS,HILLSBOROUGH, USA",42.7626649,-71.5295653
25,5,2023,401 Old Bennington Rd Greenfield NH,HILLSBOROUGH,,,GREENFIELD,20230923,YES,YES,"401 Old Bennington Rd Greenfield NH,GREENFIELD,HILLSBOROUGH, USA",42.967349,-71.925387
3,5,2023,"492 River Rd Weare, NH",HILLSBOROUGH,,,WEARE,20230132,YES,YES,"492 River Rd Weare, NH,WEARE,HILLSBOROUGH, USA",43.063513,-71.654664
19,9,2023,6 Bashan Hollow Webster NH,MERRIMACK,,,WEBSTER,20231495,YES,YES,"6 Bashan Hollow Webster NH,WEBSTER,MERRIMACK, USA",43.2754456,-71.6922993
4,5,2023,579 Schoodac Road,MERRIMACK,,,WARNER,20230212,YES,YES,"579 Schoodac Road,WARNER,MERRIMACK, USA",43.29184,-71.764974
20,10,2023,138 Goshen Drive,MERRIMACK,,,LOUDON,20232002,YES,YES,"138 Goshen Drive,LOUDON,MERRIMACK, USA",43.3032702,-71.4715636
4,11,2023,138 Goshen Drive,MERRIMACK,,,LOUDON,20232000,YES,YES,"138 Goshen Drive,LOUDON,MERRIMACK, USA",43.3032702,-71.4715636
30,10,2023,138 Goshen Drive,MERRIMACK,,,LOUDON,20231999,YES,YES,"138 Goshen Drive,LOUDON,MERRIMACK, USA",43.3032702,-71.4715636
7,6,2023,93 Powder Mill Road,BELKNAP,,,ALTON,20230468,YES,YES,"93 Powder Mill Road,ALTON,BELKNAP, USA",43.487475,-71.2138598
21,4,2023,80 Threshing Mill Road,BELKNAP,,,SANBORNTON,20231176,YES,YES,"80 Threshing Mill Road,SANBORNTON,BELKNAP, USA",43.4933417,-71.6030774
31,5,2023,193 Fernald Hill Road,SULLIVAN,,,CORNISH,20231130,YES,YES,"193 Fernald Hill Road,CORNISH,SULLIVAN, USA",43.5093568,-72.3126491
24,10,2023,61 Cotton Hill Road,BELKNAP,,,GILFORD,20232105,YES,YES,"61 Cotton Hill Road,GILFORD,BELKNAP, USA",43.5124498,-71.4423278
10,6,2023,129 Lane Rd Laconia,BELKNAP,,,LACONIA,20231118,YES,YES,"129 Lane Rd Laconia,LACONIA,BELKNAP, USA",43.5680809,-71.4938719
16,7,2023,129 Lane Road,BELKNAP,,,LACONIA,20231925,YES,YES,"129 Lane Road,LACONIA,BELKNAP, USA",43.5680809,-71.4938719
15,7,2023,129 Lane Road,BELKNAP,,,LACONIA,20231923,YES,YES,"129 Lane Road,LACONIA,BELKNAP, USA",43.5680809,-71.4938719
18,5,2023,129 Lane Road,BELKNAP,,,LACONIA,20230341,YES,YES,"129 Lane Road,LACONIA,BELKNAP, USA",43.5680809,-71.4938719
4,10,2023,72 Pendleton Beach Rd,BELKNAP,43.6085233,-71.4453448,LACONIA,20232170,YES,YES,"72 Pendleton Beach Rd,LACONIA,BELKNAP, USA",43.6079386,-71.4455069
29,10,2023,"1941 Dick Brown Rd Bridgewater, NH",GRAFTON,43.689231,-71.708976,BRIDGEWATER,20232391,YES,YES,"1941 Dick Brown Rd Bridgewater, NH,BRIDGEWATER,GRAFTON, USA",43.6875726,-71.7086941
25,4,2023,1 Buck Road,GRAFTON,43.689928,-72.269331,HANOVER,20230062,YES,YES,"1 Buck Road,HANOVER,GRAFTON, USA",43.691878,-72.270634
16,4,2023,Homestead Forest Lambert Road,BELKNAP,,,NEW HAMPTON,20231431,YES,YES,"Homestead Forest Lambert Road,NEW HAMPTON,BELKNAP, USA",43.6992806,-71.594164
28,10,2023,"21 Kelsea Ave Center Harbor, NH",BELKNAP,,,CENTER HARBOR,20232109,YES,YES,"21 Kelsea Ave Center Harbor, NH,CENTER HARBOR,BELKNAP, USA",43.711202,-71.46522
26,10,2023,98 Caverly Rd 03254,CARROLL,,,MOULTONBOROUGH,20232157,YES,YES,"98 Caverly Rd 03254,MOULTONBOROUGH,CARROLL, USA",43.712127,-71.322803
29,6,2023,361 Old Mountain Road,CARROLL,,,MOULTONBOROUGH,20231503,YES,YES,"361 Old Mountain Road,MOULTONBOROUGH,CARROLL, USA",43.724868,-71.330892
7,5,2023,940 NH Route,GRAFTON,,,HOLDERNESS,20230308,YES,YES,"940 NH Route,HOLDERNESS,GRAFTON, USA",43.72994,-71.5935504
,7,2023,8 Fuller Road,CARROLL,,,MOULTONBOROUGH,20232145,YES,YES,"8 Fuller Road,MOULTONBOROUGH,CARROLL, USA",43.7352539,-71.4001535
26,5,2023,Five finger Point,GRAFTON,,,HOLDERNESS,20231089,YES,YES,"Five finger Point,HOLDERNESS,GRAFTON, USA",43.771506,-71.5269332
24,4,2023,157 Fairgrounds Road,GRAFTON,,,PLYMOUTH,20231433,YES,YES,"157 Fairgrounds Road,PLYMOUTH,GRAFTON, USA",43.7739272,-71.699054
25,10,2023,73 Bennett Cove Lane,GRAFTON,,,HOLDERNESS,20232358,YES,YES,"73 Bennett Cove Lane,HOLDERNESS,GRAFTON, USA",43.7757477,-71.5498811
30,10,2023,73 Bennett Cove Lane,GRAFTON,,,HOLDERNESS,20232359,YES,YES,"73 Bennett Cove Lane,HOLDERNESS,GRAFTON, USA",43.7757477,-71.5498811
25,10,2023,73 Bennett Cove Lane,GRAFTON,,,HOLDERNESS,20232368,YES,YES,"73 Bennett Cove Lane,HOLDERNESS,GRAFTON, USA",43.7757477,-71.5498811
21,4,2023,"190 Eastside Rd Wentworth, NH 03282",GRAFTON,,,WENTWORTH,20230096,YES,YES,"190 Eastside Rd Wentworth, NH 03282,WENTWORTH,GRAFTON, USA",43.8758633,-71.9026585
12,6,2023,,GRAFTON,44.0043,-71.5608,PIKE,20231152,YES,YES,"nan,PIKE,GRAFTON, USA",44.0043,-71.5608
21,6,2023,,GRAFTON,44.0043,-71.5608,PIKE,20231137,YES,YES,"nan,PIKE,GRAFTON, USA",44.0043,-71.5608
18,10,2023,Thompson Road,CARROLL,,,NORTH CONWAY,20232191,YES,YES,"Thompson Road,NORTH CONWAY,CARROLL, USA",44.04506,-71.1121401
