county,fips,year,month,temperature_C,precip_mm
Western Connecticut,9190,2017,1,-1.02,89.59
Western Connecticut,9190,2017,2,-0.09,54.04
Western Connecticut,9190,2017,3,-0.38,103.85
Western Connecticut,9190,2017,4,10.51,94.8
Western Connecticut,9190,2017,5,13.62,141.36
Western Connecticut,9190,2017,6,19.23,94.8
Western Connecticut,9190,2017,7,22.27,98.58
Western Connecticut,9190,2017,8,21.29,85.25
Western Connecticut,9190,2017,9,19.41,60
Western Connecticut,9190,2017,10,15.26,143.53
Western Connecticut,9190,2017,11,4.26,31.8
Western Connecticut,9190,2017,12,-2.34,46.5
Western Connecticut,9190,2018,1,-4.52,85.87
Western Connecticut,9190,2018,2,0.21,135.52
Western Connecticut,9190,2018,3,0.6,84.94
Western Connecticut,9190,2018,4,5.53,116.7
Western Connecticut,9190,2018,5,16.67,82.15
Western Connecticut,9190,2018,6,19.4,92.7
Western Connecticut,9190,2018,7,23.87,164.61
Western Connecticut,9190,2018,8,23.25,177.94
Western Connecticut,9190,2018,9,19.48,191.1
Western Connecticut,9190,2018,10,11.1,107.26
Western Connecticut,9190,2018,11,2.78,197.4
Western Connecticut,9190,2018,12,0.01,145.08
Western Connecticut,9190,2019,1,-4.08,119.35
Western Connecticut,9190,2019,2,-2.22,71.96
Western Connecticut,9190,2019,3,0.55,66.65
Western Connecticut,9190,2019,4,9.15,142.8
Western Connecticut,9190,2019,5,14.36,142.29
Western Connecticut,9190,2019,6,19.35,121.8
Western Connecticut,9190,2019,7,24.15,106.64
Western Connecticut,9190,2019,8,22.31,93.93
Western Connecticut,9190,2019,9,19.02,31.5
Western Connecticut,9190,2019,10,12.96,164.61
Western Connecticut,9190,2019,11,2.09,71.4
Western Connecticut,9190,2019,12,-1.21,154.07
Western Connecticut,9190,2020,1,-0.51,49.6
Western Connecticut,9190,2020,2,-0.56,72.79
Western Connecticut,9190,2020,3,4.33,86.8
Western Connecticut,9190,2020,4,6.66,116.7
Western Connecticut,9190,2020,5,12.87,67.27
Western Connecticut,9190,2020,6,20.51,57.3
Western Connecticut,9190,2020,7,25.07,106.02
